outfit_id,gender,style,season,tags
72580,M,스트릿,여름,"스트릿,여름,레터링,티셔츠,블랙"
72585,F,캐주얼,여름,"데님팬츠,여름,캐주얼,락케이크"
72586,M,스트릿,여름,"미니,스트릿,데우스엑스마키나,여름,컨버스,크로스백"
72590,M,캐주얼,여름,"베스트,캐주얼,여름"
72593,M,스트릿,여름,"스트릿,티셔츠,여름,타이다이"
72594,M,스트릿,여름,"나이키,스트릿,여름,카모팬츠"
72595,M,캐주얼,여름,"캐주얼,여름,하와이언셔츠"
72597,M,캐주얼,여름,"베스트,캐주얼,여름"
72607,F,스트릿,여름,"엠엘비,스트릿,여름,크로스백"
72610,F,걸리시,여름,"여름,원피스,걸리시,생로랑"
72613,F,캐주얼,여름,"셔츠,여름,캐주얼,컨버스"
72615,M,스트릿,여름,"나이키,스트릿,엠엠엘지,여름,화이트,패턴"
72617,F,캐주얼,여름,"반팔카디건,캐주얼,여름,컨버스"
72624,F,걸리시,여름,"스카이블루,여름,걸리시,반팔블라우스"
72626,F,캐주얼,여름,"슬리브리스,여름,아디다스,캐주얼,스트라이프"
72627,M,스트릿,여름,"셔츠,스트릿,여름"
72629,M,캐주얼,여름,"셔츠,여름,캐주얼"
72630,F,캐주얼,여름,"데님,여름,캐주얼,스커트"
72636,M,스트릿,여름,"살로몬,베스트,여름,스트릿"
72637,F,스트릿,여름,"스트릿,여름,토트백,레더"
72644,M,스트릿,여름,"반팔셔츠,스트릿,여름,반스"
72645,M,스트릿,여름,"베스트,스트릿,여름,컨버스"
72648,F,걸리시,여름,"여름,컨버스,캉골,원피스,걸리시"
72653,M,스트릿,여름,"스트릿,여름"
72654,F,스트릿,여름,"스트릿,바디수트,여름"
72658,F,스트릿,여름,"카모,스트릿,여름,컨버스,반팔티셔츠"
72659,F,캐주얼,여름,"나이키,여름,컨버스,스커트,캐주얼"
72663,M,캐주얼,여름,"나이키,여름,티셔츠,캐주얼,블랙"
72667,F,걸리시,여름,"여름,원피스,걸리시"
72670,F,걸리시,여름,"여름,걸리시,스커트"
72671,F,스트릿,여름,"스트릿,여름,타이다이"
72672,M,스트릿,여름,"셔츠,나이키,스트릿,여름,블랙"
72673,M,아메리칸 캐주얼,여름,"아메리칸캐주얼,여름,아메리칸 캐주얼,셔츠"
72675,M,캐주얼,여름,"markgonzales,여름,반팔티셔츠,와릿이즌,반스,캐주얼"
72676,M,스트릿,여름,"나이키,스트릿,여름,아임낫어휴먼비잉,티셔츠,타이다이"
72677,F,로맨틱,여름,"로맨틱,여름,피케이티셔츠"
72681,F,스트릿,여름,"나이키,스트릿,여름,버킷햇"
72682,M,캐주얼,여름,"구찌,베스트,캐주얼,여름"
72683,M,캐주얼,여름,"캐주얼,여름,반팔티셔츠,칼하트"
72687,F,캐주얼,여름,"슬리브리스,여름,캐주얼,탑"
72691,F,스트릿,여름,"스트릿,원피스,여름"
72694,F,스트릿,여름,"슬리브리스,배드블러드,크롭탑,나이키,여름,스트릿"
72698,F,스트릿,여름,"베스트,스트릿,여름"
72700,F,캐주얼,여름,"데님팬츠,여름,캐주얼"
72705,F,걸리시,여름,"슬리브리스,여름,원피스,걸리시"
72707,M,캐주얼,여름,"데님팬츠,여름,컨버스,타이다이,캐주얼"
72711,F,스트릿,여름,"슬리브리스,스트릿,여름,탑"
72714,M,스트릿,여름,"스트릿,여름,토트백,레더"
72715,F,스트릿,여름,"스트릿,반팔티셔츠,여름,타이다이"
72717,M,아메리칸 캐주얼,여름,"스니커즈,여름,아메리칸캐주얼,스타터,그레고리,아메리칸 캐주얼"
72719,M,캐주얼,여름,"슬라이드,여름,캐주얼,테바"
72720,F,캐주얼,여름,"캐주얼,여름,테바,샌들"
72721,M,캐주얼,여름,"캐주얼,여름,테바,샌들"
72722,M,캐주얼,여름,"슬라이드,여름,캐주얼,테바"
72723,M,캐주얼,여름,"슬라이드,여름,캐주얼,테바"
72724,M,캐주얼,여름,"셔츠,샌들,여름,테바,캐주얼"
72726,M,캐주얼,여름,"슬라이드,여름,캐주얼,테바"
72727,M,캐주얼,여름,"슬라이드,여름,캐주얼,테바"
72730,M,캐주얼,여름,"셔츠,여름,하와이언,야세,캐주얼"
72732,M,스트릿,여름,"나이키,스트릿,여름,볼캡"
72733,M,스트릿,여름,"카모,베이프,스니커즈,스트릿,여름"
72735,F,캐주얼,여름,"숏팬츠,데님,여름,캐주얼"
72737,F,캐주얼,여름,"캐주얼,여름,원피스"
72741,M,캐주얼,여름,"캐주얼,여름,베레"
72742,F,걸리시,여름,"여름,걸리시,스커트"
72743,M,캐주얼,여름,"캐주얼,반팔티셔츠,뉴발란스,여름"
72745,F,캐주얼,여름,"데님셔츠,캐주얼,여름,컨버스"
72748,F,캐주얼,여름,"캐주얼,여름,알렉산더맥퀸,타이다이"
72749,F,스트릿,여름,"데님팬츠,스트릿,여름"
72752,M,캐주얼,여름,"데님팬츠,여름,캐주얼"
72753,F,걸리시,여름,"여름,원피스,걸리시"
72755,M,스트릿,여름,"셔츠,스트릿,여름"
72760,F,캐주얼,여름,"데님,여름,캐주얼,스커트,돌체앤가바나"
72764,F,캐주얼,여름,"반팔니트,여름,캐주얼"
72765,F,스트릿,여름,"크롭탑,슬리브리스,스트릿,여름"
72766,F,걸리시,여름,"크롭탑,여름,걸리시"
72767,M,스트릿,여름,"스카이,트렉팬츠,나이키,스트릿,여름"
72768,F,걸리시,여름,"여름,원피스,걸리시"
72771,F,캐주얼,여름,"캐주얼,여름,스커트"
72773,F,스트릿,여름,"크롭탑,나이키,스트릿,여름,반팔,블랙"
